,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
169,Closer,"The Chainsmokers",763043,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
170,"Say You Won't Let Go","James Arthur",762413,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
171,"No Brainer","DJ Khaled",760560,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
172,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",759514,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
173,Trip,"Ella Mai",757762,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
174,"Diamond Heart","Alan Walker",754797,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
175,"Look At Me!",XXXTENTACION,749452,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
176,"Nice For What",Drake,745522,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
177,Congratulations,"Post Malone",745388,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
178,"Consequences - orchestra","Camila Cabello",744705,https://open.spotify.com/track/1ArLnG0bHaHPXqf08sEKM0
179,"No Me Acuerdo",Thalía,741211,https://open.spotify.com/track/1G586ld1gbaECg4Bc6w40O
180,Clandestino,Shakira,741198,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
181,STARGAZING,"Travis Scott",739885,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
182,LUNEDI',Salmo,737842,https://open.spotify.com/track/1VNARx6Sm6ZYAsDMCGiU1B
183,"I Tried Loving","Trippie Redd",730700,https://open.spotify.com/track/7uenITonAmg7wXmFd3kkms
184,IDGAF,"Lil Peep",729929,https://open.spotify.com/track/6zZhlOWizcEG1T7zsTdI6N
185,STOOPID,6ix9ine,727178,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
186,"Hate Me","Lil Peep",726346,https://open.spotify.com/track/2FoRvrNWBtrJiSgIjmivKG
187,"All I Want for Christmas Is You","Mariah Carey",724190,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
188,Dip,Tyga,723504,https://open.spotify.com/track/4hXDobvUaXyDFLnmecoY0z
189,"Está Rico","Marc Anthony",713858,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg
190,Killshot,Eminem,712939,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
191,"Ocean (feat. Khalid)","Martin Garrix",710182,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
192,Hipócrita,"Anuel Aa",706784,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
193,"Elevate & Motivate","Trippie Redd",704795,https://open.spotify.com/track/5Tp5zlCgbwXLMa3pgYsNMl
194,Créeme,"Karol G",700419,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
195,"Loyalty Before Royalty","Trippie Redd",698863,https://open.spotify.com/track/284fVGdbsPtigjjI0jmKXo
196,"What Lovers Do","Maroon 5",697793,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g
197,"Crazy Little Thing Called Love - Remastered 2011",Queen,693784,https://open.spotify.com/track/6xdLJrVj4vIXwhuG8TMopk
198,"New Patek","Lil Uzi Vert",692329,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
199,"Thinking Out Loud","Ed Sheeran",691484,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
200,Only,"Imagine Dragons",687028,https://open.spotify.com/track/1uRBbjQ3uNFXCncWyNomHf
